"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"Gulf","FL","Panama City","12","045",1826,164.292046605876,162.409857268411,164.756862232818,159.922928709056,155.714285714286,157.508915304606,158.602150537634,162.026839178785,162.922614155443,161.099137931034,160.062960081024,159.021276595745,158.008429926238,155.625,153.453568687644,151.940421747967,149.116040955631,147.819962554755,139.759139784946,138.980263157895,137.885057471264,139.714648850497,132.575757575758,138.470800722456,137.999265785609,139.632352941176,143.981481481481,139.987495688168,128.270068711245,127.570125272331,139.013452914798,133.266666666667,129.752076970616,126.811594202899,131.757402101242,124.784722222222,142.375238161394,142.271662763466,145.042194092827,147.240711445,150.485436893204,150.485436893204,158.695652173913,157.094594594595,161.412735095471,161.873928775471,150.923964218456,159.084323384526,162.648951077562,160.025706940874,163.679245283019,163.502658226114,174.9375,150.366221456269,144.789734578547,150.347222222222,145.491803278689,144.494270054808,144.710540824506,145.042194092827,144.237875768145,146.039094650206,152.301975020264,149.708333333333,152.451283935069,151.083123425693,154.054054054054,163.152985074627,161.114842175957,154.838509372962,159.184924318208,153.957879448076,148.641188645772,152.321630804077,159.004639392661,162.120462994902,167.670682730924,171.822916666667,181.668099214145,182.711198428291,183.49013311245,187.828324385232,185.269314312237,186.272585275245,176.643109540636,175.779888103651,182.417582417582,190.200617283951,186.875,196.715770297104,209.698558322412,201.809626603989,195.116803259766,206.1875,196.598336304219,203.569325770818,201.546747282041,203.134284016637
"Marshall","OK",,"40","095",1827,117.230098146129,116.810641359566,112.108635764762,116.810641359566,116.810641359566,108.564793299666,107.666316681636,103.300294476765,102.57100663987,94.2219304005253,97.7278775893841,95.6366099071207,94.1080196399345,93.1981640876633,95.8412676822633,93.1122448979592,93.4311224489796,98.7887825277687,99.2552135054618,97.9325353645267,96.1356466876972,89.6381578947368,92.0092703600649,90.2354560333284,89.1741071428571,89.442238868739,93.8967136150235,99.2857142857143,97.2673527383572,97.8546409807356,100.401836969001,98.1287083523505,97.8546409807356,98.695910309682,97.2447325769854,97.2447325769854,91.7910447761194,93.5052541722116,92.1595598349381,90.36969420356,96.326164874552,92.1009325287987,96.7167684825676,93.1477516059957,93.1106723397944,99.5004662004662,101.489028213166,98.6325283677626,98.1684478344972,92.5700921659896,94.1802087018304,87.5693160813309,93.10445155659,94.8988340192044,93.712936583307,97.1309059384482,93.2829950090643,92.4707439501608,92.654986522911,93.10445155659,93.10445155659,97.3501932665062,99.8883928571429,96.9724465470404,96.816976127321,96.4434225614771,96.0698689956332,98.3005664778407,100.797224926972,101.697158475327,102.737636480411,102.432778489117,98.3005664778407,99.4861913937058,96.9811320754717,95.4861111111111,96.499557688346,96.9811320754717,102.036308595629,98.1754385964912,96.8683651804671,101.787487586892,99.4615187295073,96.8683651804671,101.787487586892,114.643483709273,104.721918312868,101.790281329923,96.9811320754717,105.966957370929,106.022584692597,105.072463768116,105.072463768116,104.761904761905,100.446428571429,108.409986859396,105.546430313872,107.739068494925
"San Juan","WA",,"53","055",1828,364.021995055857,362.480394538149,360.428646105593,349,351.5625,350.015234613041,353.890535199326,351.5625,352.195945945946,351.5625,351.063829787234,332.5,339.130434782609,343.75,336.510263929619,334.761813407964,319.055244195356,319.055244195356,311.688311688312,309.152993869763,305.877616747182,299.090909090909,295.336787564767,285.923753665689,289.965971938891,281.795569173567,291.730086250634,273.684210526316,281.19911176906,287.901017528176,297.619047619048,307.274360617932,312.469908521907,313.857677902622,321.473219826468,323.310673970784,327.263779527559,321.473219826468,309.11543474852,323.746377047418,322.58064516129,322.5,320.967741935484,321.158028271113,314.814814814815,313.046519762155,308.383124604996,308.383124604996,313.551078329101,312.724014336918,300.83913221449,300.510204081633,305.044308111793,307.27794134916,312.5,313.034492588369,316.281654982919,320.787570318778,322.337740288851,338.491295938104,336.872192731727,323.073116082544,322.032167705792,329.280986441764,327.459016393443,320.441632049341,327.459016393443,326.346936949031,325.536000897131,320.762132604238,324.858757062147,324.858757062147,315.005727376861,316.34446397188,315.516912219721,311.902648825778,320.909570552496,333.374505928854,321.574532157453,309.782608695652,311.072830019155,315.167510033153,317.189360857483,321.935483870968,327.75443118678,338.491295938104,338.697098158207,342.708333333333,358.556596434468,371.806947328298,355.02998085333,351.140253211483,354.936386389369,360.029672529673,354.936386389369,354.092526690391,358.936484490399,349.822705652888
"Otoe","NE",,"31","131",1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.3256009486873,86.2947223186024,89.4517696044414,89.461368361183,92.3459244532803,92.3459244532803,88.5443037974684,84.532153633392,76.869322152341,77.7495776180909,80.4085430698334,87.3764611575615,90.7266705630236,86.5414710485133,89.0804597701149,88.1562142905156,89.3340988068334,84.3413033286451,81.0114503816794,82.4160565748553,84.9753694581281,81.3195653467851,84.9753694581281,85.672320304873,84.6687211093991,84.6687211093991,84.3081064303451,80.4263061130688,85.6164383561644,83.7138255445342,88.7290167865707,83.8133640552995,83.7897989107666,80.2951586857315,78.0975219824141,77.5470669036845,80.4930383368301,80.4930383368301,77.6260504201681,87.1394230769231,77.5048480930834,85.4519774011299,87.0281086621854,86.2722572445418,80.6650246305419,80.6650246305419,87.609649122807,91.0917183132823,90.8372827804107,88.0398671096346,88.0398671096346,93.5340179717587,90.5511811023622,96.2962962962963,100.334821428571,104.820643758255,102.476595133986,97.737907940427,94.3080357142857
"Renville","MN",,"27","129",1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.734375,50.8606472892187,54.6484375,54.6484375,56.2375644486813,59.3624345598534,59.3610698365528,61.794896620404,53.0131777545571,58.6976289353704,59.3791164785601,60.4820372896771,59.9396002051222,59.3971631205674,61.6732725478856,59.1213243919606,59.9666666666667,55.5,59.3610698365528,62.9551820728291,59.9666666666667,55.2322695035461,51.1842105263158,59.7426470588235,59.0937315561676,65.9493284493284,69.443287037037,66.6208791208791,62.4024526198439,71.6244939271255,73.5763888888889,71.6244939271255,70.748987854251,67.9632867132867,70.748987854251,71.3690476190476,71.0034013605442,68.2332251082251,76.1078708402448,76.7594740912606,76.4790764790765,76.6624040920716,71.7207974669664,71.4075165806927,74.7767857142857,77.8301886792453,81.995899321267,84.6153846153846,82.2322910902048,85.2389078498293,84.9837073185798,79.0723981900452,78.0133928571429,79.0723981900452,76.3636363636364,69.1428796897547,64.9350649350649,60.9879032258064,62.5,68.4075342465753,70.6891567336773,81.5196075529336,80.30261233288,80.2997858672377,79.9497329296091,79.9497329296091,74.6323179721311,75.8167916869195,71.484375,72.577519379845
"Hamilton","IA",,"19","079",1831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2763819095477,55.6133056133056,56.3063063063063,64.5991154705084,75.6599575338849,72.9166666666667,74.6589530866211,75.1653638003608,75.2508361204013,82.5471698113208,78.4847955310056,74.1602186195038,70.9284904947753,70.2683615819209,74.4646990740741,74.7174899568517,64.8809523809524,64.9717514124294,74.3006993006993,77.0107238605898,86.2931856718949,83.0727130570758,83.2842673920477,83.274494131688,79.5841938124402,84.3339587242026,86.1779346017883
"Dent","MO",,"29","065",1832,76.3157894736842,78.5591350397176,76.9443025038324,77.5728155339806,72.1111111111111,71.6,71.6,71.4285714285714,69.4556009833788,70.8746332440362,72.3257771293906,70.4059829059829,66.3187355477369,61.3439306358381,61.3439306358381,63.0658031581786,64.9266363495025,65.7051282051282,68.5328455284553,69.5528455284553,67.8030303030303,65.625,67.2849915682968,67.9421768707483,67.8030303030303,64.9350649350649,70.034732915854,73.6204965365544,68.1818181818182,65.530303030303,65.4761904761905,65.8773964131107,65.4761904761905,71.2838356585066,71.087786259542,68.0416871842571,68.9484126984127,64.7359584859585,61.9,63.7931034482759,65.9722222222222,65.4761904761905,66.9412976313079,65.4761904761905,64.3330807123911,66.4940828402367,65.5010334684792,64.7038860793186,65.0943396226415,66.670404012961,66.4940828402367,67.728813559322,70.9502970706577,68.75,69.0255220417633,69.1340782122905,69.2458585505897,69.9756394640682,67.1422576584138,67.5925925925926,67.5925925925926,67.930649108967,66.9292637498418,68.8877610208817,68.1389120831874,66.6666666666667,67.06054467702,66.4263645726056,64.2537698412698,64.6551724137931,64.5896656534954,62.807881773399,63.8038522378338,63.3640552995392,63.9624252775406,63.5002094679514,65.3769841269841,65.3769841269841,66.9558359621451,67.0126353790614,67.0126353790614,65,64.1939494405305,64.1482567715473,59.8802395209581,61.9607124940952,67.8955610021787,64.2611683848797,65.0129991902144,68.1742356639253,66.9270833333333,67.5109968614797,68.0661577608142,66.8543279380718,66.9270833333333,62.5974399164054,66.1931818181818,67.1251600739897
"Park","MT",,"30","067",1833,158.339197748065,152.086956521739,155.877976190476,153.224686314561,152.229299363057,152.158127942398,156.984136743728,155.371771317411,150.610680660314,150.240384615385,148.333819216611,148.482749219191,151.357900912418,150.415721844293,145.270071349404,147.811447811448,145.486111111111,148.809523809524,144.01804344586,143.010752688172,140.664961636829,139.866762836526,145.443925233645,139.866762836526,144.303942681641,151.329686167827,156.197916666667,158.359764386044,158.359764386044,156.197916666667,156.189903846154,156.129807692308,160.096153846154,164.081145584726,166.666666666667,165.413465553236,163.949237897749,160.23675616836,166.904761904762,167.274939172749,171.597322377218,186.104218362283,179.005524861878,173.432986712883,177.546628407461,180.261918166552,175.989440425709,179.289544235925,179.289544235925,175.404411261982,175.438596491228,177.197082819364,183.126550868486,175.92711987611,174.069850868652,174.050632911392,170,175.855516550847,182.911400087198,183.89662027833,185.702317788327,201.612903225806,187.16577540107,191.010552806327,193.115664157444,195.566231972067,193.489392831017,191.692387664126,194.024725274725,189.595192915876,190.565075697156,194.154036208199,188.520408163265,181.362007168459,193.937496327202,184.51825951826,173.266666666667,182.39957701326,183.997050147493,189.402669643553,192.253298486701,191.649454116258,187.716649772919,189.273221919938,188.184438040346,190.620782726046,191.649454116258,190.620782726046,202.190395956192,201.523692889719,205.05249343832,205.672285533397,208.40160917589,212.818405916187,222.932045158489,222.932045158489,227.410782080486,218.832891246684
"Roseau","MN",,"27","135",1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.015873015873,73.4002976190476,75.8095238095238,76.3409475465313,76.0152284263959,76.1655089500401,76.0152284263959,81.2212443519783,77.8969594594595,76.875,73.1586744639376,72.1862712975098,66.3880732662192,67.0469798657718,67.519541600424,70.3745833333333,77.734375,76.9749518304432,73.6842105263158,74.1022099447514,75.8771929824561,75,73.9716198979592,73.9716198979592,74.2869167298938,77.3168402777778,78.2611930641822,78.4420289855072,78.5101827712836,80.0890034433459,80.6738496690829,80.0890034433459,76.9979604980678,77.9411764705882,80.9210526315789,82.4705456235307,80.3571428571429,77.2075353308328,75.9161041465767
"Moniteau","MO","Jefferson City","29","135",1835,,,,,,,,,,,,,,67.3661059904947,69.8640310771185,66.3725998962117,62.6388428922675,66.0095406092333,67.7083333333333,66.0344827586207,63.3,64.7041321703134,66.1377129770102,67.1135901699926,63.4883167220377,65.1569356411507,65.1569356411507,64.0390784982935,63.6488594059617,62.5195618153365,62.1272159694369,62.6436781609195,60.180654873918,64.0896962233169,68.3019882488721,69.3518518518518,74.9191998602376,75.4339622641509,77.0565552699229,83.0802603036876,83.2575757575758,74.8175182481752,75.7575757575758,74.8175182481752,75.2496682149967,74.4949494949495,72.7025025130945,77.0913461538462,72.989306740358,72.807881773399,72.7449668511648,71.9032704870586,71.9540229885057,71.9618055555556,72.9177834360761,71.9618055555556,69.1394658753709,69.5614330637916,69.8758984725966,69.8041375347189,67.8637941919192,69.7969543147208,69.7969543147208,67.1146953405018,70.859872611465,68.8806603773585,69.811320754717,71.1748506348021,70.771481808375,71.3141025641026,70.1660310746224,67.0302538666057,64.268959647003,64.4985104270109,65.6954887218045,63.2697044334975,67.0212765957447,68.7931476313794,69.1325566914692,67.7118644067797,73.2421875,74.1525423728814,73.7490699404762,74.2559523809524,74.1584158415842,69.3287037037037,75.6181972789116,71.5798045602606,72.5351852989982,71.5798045602606,81.530612244898,75.2819055944056,69.6451612903226,68.0418956043956,69.7209478021978,71.4,70.9742895805142,72.1296296296296
"Mitchell","NC",,"37","121",1836,116.417648874925,115.776474220438,118.6875,120.841392649903,116.02777199394,116.668946648427,119.836817950025,114.038461538462,113.674844255977,113.827993254637,113.521695257316,113.053866311057,111.455108359133,109.555652830707,109.641812865497,110.833333333333,111.455108359133,110.833333333333,110.833333333333,109.561403508772,109.090909090909,110.941220238095,113.827993254637,115.245664739884,114.402591168772,112.933298319328,112.542612207694,112.920168067227,112.647724415388,110.833333333333,112.255965292842,112.068965517241,109.748609787099,110.825351213282,111.60958596604,113.140311804009,111.657256579755,111.657256579755,112.941597384155,114.687079407806,114.230769230769,112.5,115,114.597283336522,119.333333333333,124.242424242424,122.008547008547,116.515003120054,114.723783291499,113.95367239553,110.705204946958,110.357624943572,113.95367239553,115.384615384615,114.719783929777,119.023462027352,116.045211090107,114.719783929777,114.719783929777,114.279147739563,114.356787491116,114.208074534161,119.791666666667,121.590909090909,120.952380952381,123.009950248756,124.375624375624,123.456790123457,124.044753356259,124.658192649371,124.044753356259,122.229203719477,121.379310344828,122.561617517403,122.83950617284,124.285183809877,131.270096463022,129.058441558442,132.121212121212,131.374916280522,131.628787878788,131.802721088435,131.961966604824,126.884870096791,126.846663270504,126.050420168067,125.203506574828,126.050420168067,128.330658105939,129.142185663925,132.112266577211,128.525382755842,133.714635854342,134.55819188957,134.35972629521,134.75665748393,130.483028720627,126.256006989952
"Macon","MO",,"29","121",1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3088318284424,70.1505016722408,68.0542484997272,69.5043498168498,67.8110129163834,67.706800117751,64.6454131424854,58.3000920659041,61.317862358525,59.4970218398412,56.9421435270903,57.6298018833846,55.625,59.1094530461753,59.991423670669,67.321729365525,63.3180937549402,65.2858786170247,56.869918699187,56.869918699187,55.610479485912,56.4543638326982,64.3786978958139,65.7630975949992,62.7845717234262,65.7025808509882,66.875,65.8033362598771,64.5368365769394,66.4915966386555,66.5475692525075,68.6528824559746,63.7539010254124
