"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-01-31,72644,"33493","FL","Miami-Fort Lauderdale","Palm Beach","South Bay",13154,138400,-0.000722021660649819,-0.0184397163120567,0.217238346525945,0.151372885369059,0.0171132799845914,"2017-10","2017-Q4",141000,-0.0184397163120567,"2017-10"
2018-01-31,90659,"75058","TX","Sherman","Grayson","Gunter",13155,254300,-0.0101206695212145,-0.0330798479087452,-0.0147229755908563,0.0812175787487248,0.0434497373448548,"2017-09","2017-Q3",263500,-0.0349146110056926,"2016-12"
2018-01-31,69272,"27281","NC","Pinehurst-Southern Pines","Moore","Foxfire",13156,202800,-0.00879765395894428,-0.009765625,0.0206341217916457,0.0303973717562533,0.0109356807914127,"2017-04","2017-Q2",211700,-0.0420406235238545,"2017-02"
2018-01-31,58503,"01827","MA","Boston","Middlesex","Dunstable",13157,496500,-0.00838825644098262,-0.00957510472770796,0.0505713076597546,0.0437543728623959,0.0187569670557057,"2017-11","2017-Q4",502300,-0.0115468843320725,"2017-08"
2018-01-31,87460,"67107","KS","McPherson","McPherson","Moundridge",13158,133600,-0.00149476831091181,-0.00298507462686567,0.0324574961360124,0.026364658340511,,"2017-11","2017-Q4",134200,-0.00447093889716841,"2017-10"
2018-01-31,70510,"29482","SC","Charleston","Charleston","Sullivans Island",13159,1764000,0.00438421681944998,0.0213652944241793,0.0515021459227468,0.0837171696721515,0.0271393113037779,"2018-01","2018-Q1",1764000,0,"2018-01"
2018-01-31,65890,"19372","PA","Philadelphia","Chester","Thorndale",13160,248300,-0.00241060666934512,0.00120967741935484,0.0277317880794702,0.0192695076337306,0.00232506838948843,"2006-08","2006-Q3",252600,-0.0170229612034838,"2006-04"
2018-01-31,78679,"47579","IN",,"Spencer","Santa Claus",13161,155400,0.0058252427184466,0.0298210735586481,0.0346205059920107,0.0235893695076297,0.0042144692006183,"2015-11","2015-Q4",161400,-0.0371747211895911,"2015-03"
2018-01-31,90314,"74131","OK","Tulsa","Creek","Sapulpa",13162,171400,0.00351288056206089,0.0094228504122497,0.0154028436018957,0.0464344376791965,0.0420810432354259,"2018-01","2018-Q1",171400,0,"2018-01"
2018-01-31,58332,"01337","MA","Greenfield Town","Franklin","Bernardston",13163,200600,-0.0369659145463274,-0.0573308270676692,-0.0285714285714286,0.00975043358163008,-0.00153236949156865,"2007-02","2007-Q1",220500,-0.090249433106576,"2006-02"
2018-01-31,90997,"75631","TX",,"Panola","Beckville",13164,131000,0.00383141762452107,0.00537221795855718,0.0155038759689922,0.00733422339986389,,"2012-08","2012-Q3",135200,-0.0310650887573964,"2012-05"
2018-01-31,67463,"22967","VA","Charlottesville","Nelson","Roseland",13165,205700,-0.00819672131147541,-0.0255802936996684,0.0193260654112983,-0.00695040722267704,-0.0507004625974363,"2005-12","2005-Q4",367900,-0.440880674096222,"2003-09"
2018-01-31,69919,"28395","NC","Fayetteville","Cumberland","Wade",13166,127300,-0.0131782945736434,-0.0304645849200305,-0.00313234142521535,0.0139169715612399,-0.000313676540736885,"2009-11","2009-Q4",132400,-0.0385196374622356,"2008-08"
2018-01-31,98870,"96731","HI","Urban Honolulu","Honolulu","Kahuku",13167,559600,-0.0016057091882248,0.0290547995586613,0.120096076861489,0.0735137438691684,0.0212902802141863,"2017-12","2017-Q4",560500,-0.0016057091882248,"2017-12"
2018-01-31,59285,"03907","ME","Portland","York","Ogunquit",13168,418000,0.0167842374118219,0.0452613153288322,0.102320675105485,0.0274315311038125,0.00981600501006841,"2018-01","2018-Q1",418000,0,"2018-01"
2018-01-31,65363,"18092","PA","Allentown","Lehigh","Upper Milford Township",13169,286300,0,0.00703482237073514,0.045271997079226,0.0266668168444835,,"2018-01","2018-Q1",286300,0,"2018-01"
2018-01-31,62606,"12487","NY","Kingston","Ulster","Ulster",13170,196800,-0.00404858299595142,0.00768049155145929,0.0352446081009995,0.0181195717366232,-0.0196903147317193,"2006-07","2006-Q3",247500,-0.204848484848485,"2004-03"
2018-01-31,86007,"63347","MO","St. Louis","Lincoln","Foley",13171,196100,0.0030690537084399,0.0288562434417629,0.111048158640227,0.06819784185501,0.0225521472054717,"2018-01","2018-Q1",196100,0,"2018-01"
2018-01-31,59166,"03602","NH","Keene","Cheshire","Alstead",13172,186100,0.0186097427476738,0.0344635908838243,0.0769675925925926,0.0233692644852257,0.0027271919163252,"2018-01","2018-Q1",186100,0,"2018-01"
2018-01-31,66010,"19562","PA","Reading","Berks","Topton",13173,167100,-0.000598086124401914,0.011501210653753,0.088599348534202,0.0330887234927535,-0.000358359096815919,"2007-06","2007-Q2",176300,-0.05218377765173,"2006-10"
2018-01-31,75518,"40076","KY","Louisville/Jefferson County","Shelby","Waddy",13174,188700,-0.0217729393468118,-0.00527148128624143,0.0536013400335008,0.0496472404233481,0.0181084000820342,"2017-11","2017-Q4",193400,-0.0243019648397104,"2017-10"
2018-01-31,63877,"15067","PA","Pittsburgh","Washington","New Eagle",13175,85600,0.0118203309692671,0.0300842358604091,0.145917001338688,0.000467945923183999,0.0285469594251109,"2013-05","2013-Q2",86600,-0.0115473441108545,"2013-02"
2018-01-31,95115,"85938","AZ",,"Apache","Springerville",13176,121000,0.0151006711409396,0.0271646859083192,0.0467128027681661,0.0793469399555724,-0.0257092669366393,"2006-12","2006-Q4",192000,-0.369791666666667,
2018-01-31,58961,"02881","RI","Providence","Washington","Kingston",13177,356000,0.00764223039909425,0.0229885057471264,0.0442945145203872,0.0386588831477015,0.000931723145588537,"2006-01","2006-Q1",375800,-0.0526875997871208,"2004-12"
2018-01-31,82855,"56438","MN",,"Todd","Browerville",13178,129200,-0.00538876058506544,-0.0219530658591976,0.0939881456392888,0.055331915167963,0.00444093649326049,"2005-05","2005-Q2",133200,-0.03003003003003,"2005-02"
2018-01-31,62655,"12547","NY","Kingston","Ulster","Milton",13179,225300,-0.00748898678414097,-0.00748898678414097,0.033960532354291,0.0102501064723406,-0.0240502822751051,"2005-11","2005-Q4",294800,-0.235753052917232,"2003-12"
2018-01-31,73305,"35073","AL","Birmingham","Jefferson","Graysville",13180,63900,0.0142857142857143,0.0614617940199335,0.0979381443298969,0.0490267786278209,0.00648522421389264,"2010-02","2010-Q1",67300,-0.050520059435364,"2010-01"
2018-01-31,82235,"55384","MN","Minneapolis-St Paul","Hennepin","Spring Park",13181,232800,0.00997830802603037,0.0278145695364238,0.068870523415978,0.0642697506418488,-0.00537863940831973,"2006-08","2006-Q3",288200,-0.192227619708536,"2004-09"
2018-01-31,99294,"97449","OR","Coos Bay","Coos","Lakeside",13182,162800,0.0143302180685358,0.0187734668335419,0.108236895847515,0.0566403374902342,0.00896469572417469,"2018-01","2018-Q1",162800,0,"2018-01"
2018-01-31,62205,"11724","NY","New York","Suffolk","Cold Spring Harbor",13183,1122400,-0.000979083222073876,-0.00918079096045198,-0.144251296126868,0.0179638594323988,-0.014869720170876,"2006-07","2006-Q3",1354800,-0.171538234425746,"2004-10"
2018-01-31,81599,"54169","WI","Appleton","Calumet","Sherwood",13184,216200,0.00886607559496034,0.0227057710501419,0.0908173562058527,0.0350393482480662,0.0154327764068762,"2018-01","2018-Q1",216200,0,"2018-01"
2018-01-31,89956,"73131","OK","Oklahoma City","Oklahoma","Oklahoma City",13185,247900,-0.00281576830249397,0.00283171521035599,-0.0240157480314961,0.0190312120840799,0.0143405948140554,"2017-02","2017-Q1",254500,-0.0259332023575638,"2016-09"
2018-01-31,81606,"54180","WI","Green Bay","Brown","Town of Wrightstown",13186,178100,-0.0154781647318961,-0.019273127753304,0.0336622170632618,0.04901858186196,0.0169132235261633,"2017-11","2017-Q4",182100,-0.0219659527732015,"2017-08"
2018-01-31,58224,"01038","MA","Springfield","Hampshire","Town of Hatfield",13187,303100,0.000990752972258917,-0.000988793671720501,0.0509708737864078,0.0217380407999461,,"2017-10","2017-Q4",303400,-0.000988793671720501,"2017-10"
2018-01-31,95014,"85630","AZ","Sierra Vista","Cochise","Saint David",13188,150200,0.00200133422281521,0.0183050847457627,0.0380096751900484,0.00846652797523517,-0.0192360143450097,"2008-03","2008-Q1",183700,-0.182362547632009,"2005-04"
2018-01-31,69959,"28449","NC","Wilmington","New Hanover","Kure Beach",13189,356700,-0.000840336134453782,0.00648984198645598,0.0297344110854503,0.0305986062817727,-0.0188799130366304,"2006-06","2006-Q2",469700,-0.240579093038109,"2005-07"
2018-01-31,67009,"21738","MD","Baltimore","Howard","Glenwood",13190,703600,-0.00410474168435952,-0.010268673512449,0.00085348506401138,0.0195754819702505,-0.00690752981623377,"2007-06","2007-Q2",771600,-0.0881285640228097,"2005-06"
2018-01-31,79393,"48818","MI","Grand Rapids","Montcalm","Crystal",13191,93600,-0.0126582278481013,-0.027027027027027,-0.0136986301369863,0.0453047335816521,,"2017-04","2017-Q2",103300,-0.0939012584704743,"2016-07"
2018-01-31,76445,"42776","KY","Elizabethtown","Hardin","Sonora",13192,120500,-0.00165700082850041,0.00333055786844296,0.0616740088105727,0.0380001335333389,0.0311131907608244,"2017-12","2017-Q4",120700,-0.00165700082850041,"2017-12"
2018-01-31,80235,"50237","IA","Des Moines","Polk","Runnells",13193,252600,0.0152733118971061,0.0369458128078818,0.0836550836550836,0.0736011227609892,0.0362057740703454,"2018-01","2018-Q1",252600,0,"2018-01"
2018-01-31,99267,"97417","OR","Roseburg","Douglas","Canyonville",13194,151400,0.00264900662251656,-0.001977587343441,0.111600587371513,0.0917801940010825,0.0103399308104342,"2017-10","2017-Q4",151700,-0.001977587343441,"2017-10"
2018-01-31,74841,"38477","TN",,"Giles","Prospect",13195,100500,0.00903614457831325,0.005,0.0657476139978791,0.0847957843332776,0.0185819559383718,"2017-07","2017-Q3",103900,-0.0327237728585178,"2017-06"
2018-01-31,100140,"99169","WA","Othello","Adams","Ritzville",13196,105300,0.00477099236641221,0.0203488372093023,0.138378378378378,0.0242743542261239,,"2009-05","2009-Q2",106500,-0.0112676056338028,"2009-04"
